Código do Equipamento,Equipamento,UF,Município,Rodovia,Km,Coordenadas,Registro INMETRO,Nº de Série
MGR22050154,Controlador Eletrônico de Velocidade,MG,FRANCISCO SA,251,"472,000","-43.425447, -16.471014",14980021,2300044
MGR18090016,Controlador Eletrônico de Velocidade,MG,FRANCISCO SA,251,"478,900","-43.475461, -16.47035",14980490,2300091
MGR18090017,Controlador Eletrônico de Velocidade,MG,FRANCISCO SA,251,"481,900","-43.499716, -16.474366",14980489,2300092
MGR18100026,Controlador Eletrônico de Velocidade,MG,FRANCISCO SA,251,"472,700","-43.424194, -16.47275",15324103,2300319
MGR18100027,Controlador Eletrônico de Velocidade,MG,FRANCISCO SA,251,"474,100","-43.4335, -16.466444",15324102,2300320
MGB19120051,Redutor Eletrônico de Velocidade,MG,FREI INOCENCIO,116,"374,538","-41.909597, -18.570434",14438492,2300011
MGR19010064,Controlador Eletrônico de Velocidade,MG,GOVERNADOR VALADARES,381,"171,365","-42.076013, -18.956145",14438455,2300001
MGR18100023,Controlador Eletrônico de Velocidade,MG,GOVERNADOR VALADARES,116,"388,860","-41.983561, -18.670254",15322716,2300222
MGR19080097,Controlador Eletrônico de Velocidade,MG,GOVERNADOR VALADARES,116,"394,900","-41.988749, -18.720497",15322717,2300223
MGR19080098,Controlador Eletrônico de Velocidade,MG,GOVERNADOR VALADARES,116,"395,225","-41.989287, -18.723466",15322718,2300224
MGR18090004,Controlador Eletrônico de Velocidade,MG,GOVERNADOR VALADARES,116,"407,804","-41.989281, -18.831915",15263571,2300152
MGB18090006,Redutor Eletrônico de Velocidade,MG,GRAO MOGOL,251,"376,074","-42.712048, -16.300102",15388509,2300270
MGR18090022,Controlador Eletrônico de Velocidade,MG,GRAO MOGOL,251,"470,000","-43.408509, -16.4755",15324104,2300318
MGR22080156,Controlador Eletrônico de Velocidade,MG,GRAO MOGOL,251,"465,100","-43.395914, -16.440717",15105712,2300050
MGR23010168,Controlador Eletrônico de Velocidade,MG,GRAO MOGOL,251,"462,594","-43.397712, -16.443396",14980447,FSCII6683
MGR23010167,Controlador Eletrônico de Velocidade,MG,GRAO MOGOL,251,"449,800","-43.283889, -16.430556",14980446,FSCII6687
MGB18120014,Redutor Eletrônico de Velocidade,MG,GRAO MOGOL,251,"396,300","-42.863756, -16.220223",15388510,2300271
