Código do Equipamento,Equipamento,UF,Município,Rodovia,Km,Coordenadas,Registro INMETRO,Nº de Série
ROB20040023,Redutor Eletrônico de Velocidade,RO,PORTO VELHO,364,"712,585","-63.87748, -8.77459",12908470,FLICD2005A00558
ROR20040020,Controlador Eletrônico de Velocidade,RO,PORTO VELHO,364,"714,250","-63.889707, -8.777642",12908471,FLISD2005A00554
ROB20040024,Redutor Eletrônico de Velocidade,RO,PORTO VELHO,364,"800,680","-64.404046, -9.258233",4781728,FLICD2005A00555
ROB21120033,Redutor Eletrônico de Velocidade,RO,PORTO VELHO,319,"61,065","-63.889548, -8.741321",14826018,FLICD2106A00572
ROR20050023,Controlador Eletrônico de Velocidade,RO,PORTO VELHO,364,"703,380","-63.803277, -8.800411",12908465,FLISD2005A00529
ROB21050029,Redutor Eletrônico de Velocidade,RO,PORTO VELHO,364,"699,700","-63.770744, -8.800602",14781787,FLICD2106A00579
ROB21120036,Redutor Eletrônico de Velocidade,RO,PORTO VELHO,364,"695,970","-63.73705, -8.80054",12908464,FLICD2005A00532
ROR21120029,Controlador Eletrônico de Velocidade,RO,PORTO VELHO,364,"707,660","-63.84033, -8.79602",14781786,FLISD2005A00533
ROR21120030,Controlador Eletrônico de Velocidade,RO,PORTO VELHO,364,"708,105","-63.84359, -8.79415",12908467,FLISD2005A00534
ROR21120031,Controlador Eletrônico de Velocidade,RO,PORTO VELHO,364,"710,415","-63.860339, -8.784394",12908472,FLISD2005A00556
ROB21120037,Redutor Eletrônico de Velocidade,RO,PORTO VELHO,319,"61,070","-63.889985, -8.741456",14826017,FLICD2106A00573
ROB20040008,Redutor Eletrônico de Velocidade,RO,JI-PARANA,364,"343,380","-61.949228, -10.87633",14781722,FLICD2005A00528
ROB20040009,Redutor Eletrônico de Velocidade,RO,JI-PARANA,364,"343,360","-61.94878, -10.876266",14781721,FLICD2005A00527
ROR20040008,Controlador Eletrônico de Velocidade,RO,JI-PARANA,364,"340,220","-61.930647, -10.896874",14781717,FLISD2005A00524
ROR20040009,Controlador Eletrônico de Velocidade,RO,JI-PARANA,364,"341,500","-61.934805, -10.88545",14781719,FLISD2005A00525
ROR20040010,Controlador Eletrônico de Velocidade,RO,JI-PARANA,364,"341,600","-61.935758, -10.885028",14781718,FLISD2005A00526
ROR20040013,Controlador Eletrônico de Velocidade,RO,JI-PARANA,364,"340,070","-61.930402, -10.898763",14781716,FLISD2005A00549
ROR20040014,Controlador Eletrônico de Velocidade,RO,JI-PARANA,364,"348,000","-61.982945, -10.85608",14781720,FLISD2005A00551
ROR20040017,Controlador Eletrônico de Velocidade,RO,ARIQUEMES,364,"515,010","-63.05511, -9.92372",14781727,FLISD2005A00552
ROR20050022,Controlador Eletrônico de Velocidade,RO,ARIQUEMES,364,"513,500","-63.05537, -9.93553",14781726,FLISD2005A00559
ROB21120038,Redutor Eletrônico de Velocidade,RO,CACOAL,364,"224,715","-61.358851, -11.511356",14781785,FLICD2005A00540
ROB22100041,Redutor Eletrônico de Velocidade,RO,CACOAL,364,"273,800","-61.746888, -11.38605",14826042,FLICD2106A00576
ROB20040020,Redutor Eletrônico de Velocidade,RO,CACOAL,364,"241,970","-61.487353, -11.44084",14781714,FLICD2005A00548
ROB20040021,Redutor Eletrônico de Velocidade,RO,CACOAL,364,"239,180","-61.46432, -11.4337",14781713,FLICD2005A00547
ROB20040022,Redutor Eletrônico de Velocidade,RO,CACOAL,364,"239,120","-61.4635, -11.434",14781712,FLICD2005A00546
ROB20040018,Redutor Eletrônico de Velocidade,RO,CACOAL,364,"233,960","-61.421758, -11.457615",14781710,FLICD2005A00545
ROR20040012,Controlador Eletrônico de Velocidade,RO,CACOAL,364,"236,000","-61.436026, -11.446246",1478711,FLISD2005A00543
ROB20040016,Redutor Eletrônico de Velocidade,RO,CACOAL,364,"224,955","-61.36071, -11.510128",14781709,FLICD2005A00541
ROB20040017,Redutor Eletrônico de Velocidade,RO,PIMENTA BUENO,364,"197,410","-61.189474, -11.675107",14781706,FLICD2005A00553
ROR21120027,Controlador Eletrônico de Velocidade,RO,PIMENTA BUENO,364,"193,400","-61.170278, -11.701111",12908468,FLISD2106A00568
ROB20040003,Redutor Eletrônico de Velocidade,RO,PIMENTA BUENO,364,"200,150","-61.192778, -11.6525",14781707,FLICD2005A00535
ROB20040004,Redutor Eletrônico de Velocidade,RO,PIMENTA BUENO,364,"200,525","-61.19394, -11.64794",1481708,FLICD2005A00536
ROB20040013,Redutor Eletrônico de Velocidade,RO,VILHENA,364,"17,210","-60.16859, -12.73127",14781704,FLICD2005A00538
ROB20040014,Redutor Eletrônico de Velocidade,RO,VILHENA,364,"17,550","-60.17039, -12.73091",14781705,FLICD2005A00539
ROB22100040,Redutor Eletrônico de Velocidade,RO,VILHENA,364,"19,762","-60.191282, -12.725943",14826041,FLICD2005A00542
ROB21050031,Redutor Eletrônico de Velocidade,RO,VILHENA,174,"17,550","-60.120126, -12.70448",12908469,FLICD2106A00571
ROB21120039,Redutor Eletrônico de Velocidade,RO,JARU,364,"410,130","-62.39773, -10.5312",12908487,FLICD2106A00578
ROR21120032,Controlador Eletrônico de Velocidade,RO,JARU,364,"434,700","-62.546906, -10.384608",14802643,FLISD2106A00570
ROR21120028,Controlador Eletrônico de Velocidade,RO,JARU,364,"429,670","-62.509396, -10.411434",14781789,FLISD2005A00550
ROR21120026,Controlador Eletrônico de Velocidade,RO,JARU,364,"420,190","-62.44815, -10.47159",14781788,FLISD2106A00569
ROB20040011,Redutor Eletrônico de Velocidade,RO,OURO PRETO DO OESTE,364,"384,015","-62.25154, -10.7142",14781724,FLICD2005A00530
ROB20040012,Redutor Eletrônico de Velocidade,RO,OURO PRETO DO OESTE,364,"384,080","-62.252059, -10.713721",14781723,FLICD2005A00531
ROR20050021,Controlador Eletrônico de Velocidade,RO,OURO PRETO DO OESTE,364,"387,760","-62.274063, -10.687157",14781725,ROR20050021
ROB21050032,Redutor Eletrônico de Velocidade,RO,PRESIDENTE MEDICI,364,"309,550","-61.901644, -11.158351",14781776,FLICD2106A00577
ROR20040016,Controlador Eletrônico de Velocidade,RO,PRESIDENTE MEDICI,364,"307,175","-61.90162, -11.17952",14781720,FLISD2005A00544
ROB21050030,Redutor Eletrônico de Velocidade,RO,COLORADO DO OESTE,435,"63,900","-60.367798, -13.090411",14781784,FLICD2106A00574
RRB22120007,Redutor Eletrônico de Velocidade,RR,CANTA,432,"192,230","-60.595558, 2.616255",13669545,10744
RRR23020008,Controlador Eletrônico de Velocidade,RR,CANTA,401,"7,000","-60.636364, 2.796742",13669546,10787
RRB18120001,Redutor Eletrônico de Velocidade,RR,RORAINOPOLIS,174,"0,400","-60.522472, -0.856194",13669526,10674
RRB18120002,Redutor Eletrônico de Velocidade,RR,RORAINOPOLIS,174,"36,300","-60.630056, -0.551639",13669527,10675
TOB18100017,Redutor Eletrônico de Velocidade,TO,AGUIARNOPOLIS,226,"1,730","-47.472386, -6.562937",00000497,L0376
TOR18100014,Controlador Eletrônico de Velocidade,TO,CRIXAS DO TOCANTINS,153,"599,600","-48.921108, -11.107322",00000647, L0274
GOR20020014,Controlador Eletrônico de Velocidade,GO,SANTO ANTONIO DA BARRA,060,"342,800","-50.635733, -17.561974",11786721,FLISD2003A00491
GOR24040045,Controlador Eletrônico de Velocidade,GO,SANTO ANTONIO DA BARRA,060,"342,800","-50.635769, -17.561783",EBG5247303,FLISD0424A00789
TOR18100013,Controlador Eletrônico de Velocidade,TO,SANTA RITA DO TOCANTINS,153,"572,500","-48.9055, -10.862943",00000480, L0269
ACB22010002,Redutor Eletrônico de Velocidade,AC,RIO BRANCO,364,"124,400","-67.794678, -10.011417",14826019,FLICD2106A00575
TOB18100018,Redutor Eletrônico de Velocidade,TO,DARCINOPOLIS,226,"39,830","-47.755803, -6.710604",00000491,L0375
MAR22060018,Controlador Eletrônico de Velocidade,MA,MATOES DO NORTE,135,"157,000","-44.517173, -3.819611",14747429,220427/2792
MAB20030024,Redutor Eletrônico de Velocidade,MA,SAO DOMINGOS DO AZEITAO,230,"212,600","-44.643713, -6.812355",12887083,200317/2535
AMB19010001,Redutor Eletrônico de Velocidade,AM,MANAUS,174,"884,980","-60.021389, -2.965583",13864962,10606
AMB19010003,Redutor Eletrônico de Velocidade,AM,MANAUS,174,"887,700","-60.033444, -2.947972",13864964,10616
AMB19010004,Redutor Eletrônico de Velocidade,AM,MANAUS,174,"897,970","-60.03758, -2.85668",14784094,10934
AMB19010007,Redutor Eletrônico de Velocidade,AM,MANAUS,174,"892,000","-60.03825, -2.9095",13991304,10682
RRB22120006,Redutor Eletrônico de Velocidade,RR,BOA VISTA,174,"511,100","-60.698188, 2.87759",13669544,10583
RRB22120008,Redutor Eletrônico de Velocidade,RR,MUCAJAI,174,"449,908","-60.918433, 2.454658",13669338,10676
RRR20010006,Controlador Eletrônico de Velocidade,RR,MUCAJAI,174,"447,600","-60.919415, 2.433387",13669543,10629
TOB18100008,Redutor Eletrônico de Velocidade,TO,BRASILANDIA DO TOCANTINS,153,"283,950","-48.48705, -8.390006",00000643, L0365
TOB18100011,Redutor Eletrônico de Velocidade,TO,FORTALEZA DO TABOCAO,153,"359,010","-48.518687, -9.056682", 00000650, L0361
TOR18100009,Controlador Eletrônico de Velocidade,TO,RIO DOS BOIS,153,"391,040","-48.535019, -9.339741",00000646,L0360
PAB21090021,Redutor Eletrônico de Velocidade,PA,SANTA LUZIA DO PARA,316,"172,750","-47.049433, -1.356617",12656434,11233
RNB21070054,Redutor Eletrônico de Velocidade,RN,ITAJA,304,"119,280","-36.862372, -5.630906",12220694,210819/2681
PAR22010017,Controlador Eletrônico de Velocidade,PA,BENEVIDES,316,"20,880","-48.263111, -1.361805",12656460,10657
PAR21110016,Controlador Eletrônico de Velocidade,PA,BENEVIDES,316,"23,990","-48.24445, -1.34046",12656463,10833
PAB19060005,Redutor Eletrônico de Velocidade,PA,BENEVIDES,316,"21,000","-48.262588, -1.360658",13355213,10648
PAR19060003,Controlador Eletrônico de Velocidade,PA,BENEVIDES,316,"23,760","-48.245944, -1.341861",12656462,10834
PAB22060023,Redutor Eletrônico de Velocidade,PA,CAPANEMA,316,"152,200","-47.172489, -1.21914",12656438,10904
PBB18120030,Redutor Eletrônico de Velocidade,PB,APARECIDA,230,"444,950","-38.07558, -6.78689",14363789,FSC110-0332
PBB18120031,Redutor Eletrônico de Velocidade,PB,APARECIDA,230,"444,950","-38.07558, -6.78689",14363790,FSC110-0333
PBB18120024,Redutor Eletrônico de Velocidade,PB,APARECIDA,230,"445,950","-38.085274, -6.785988",14363791,FSC110-0328
PBB18120025,Redutor Eletrônico de Velocidade,PB,APARECIDA,230,"445,950","-38.085274, -6.785988",14363792,FSC110-0329
PBB18120026,Redutor Eletrônico de Velocidade,PB,APARECIDA,230,"445,450","-38.08063, -6.787037",14363787,FSC110-0330
PBB18120027,Redutor Eletrônico de Velocidade,PB,APARECIDA,230,"445,450","-38.08063, -6.787037",14363788,FSC110-0331
PAR22020020,Controlador Eletrônico de Velocidade,PA,CASTANHAL,316,"59,700","-47.958812, -1.298036",12656446,10707
PAS22010016,Controlador Eletrônico Misto,PA,CASTANHAL,316,"64,860","-47.912685, -1.295761",12656431,10914
PAB19060013,Redutor Eletrônico de Velocidade,PA,CASTANHAL,316,"60,560","-47.951083, -1.297306",12656457,10828
PAB19060014,Redutor Eletrônico de Velocidade,PA,CASTANHAL,316,"60,670","-47.950083, -1.296917",12656458,10613
PAS19060001,Controlador Eletrônico Misto,PA,CASTANHAL,316,"61,940","-47.938722, -1.298194",12656420,10838
PAS19060002,Controlador Eletrônico Misto,PA,CASTANHAL,316,"62,000","-47.938167, -1.297944",12656411,10605
PAS19060003,Controlador Eletrônico Misto,PA,CASTANHAL,316,"62,910","-47.930306, -1.296917",12656412,10791
PAS19060004,Controlador Eletrônico Misto,PA,CASTANHAL,316,"62,960","-47.92975, -1.296778",12656413,10604
PAS19060005,Controlador Eletrônico Misto,PA,CASTANHAL,316,"63,210","-47.9275, -1.296694",12656414,10817
PAS19060006,Controlador Eletrônico Misto,PA,CASTANHAL,316,"63,280","-47.926944, -1.296639",12656415,10819
PAS19060007,Controlador Eletrônico Misto,PA,CASTANHAL,316,"63,540","-47.924583, -1.296472",12656416,10797
PAS19060008,Controlador Eletrônico Misto,PA,CASTANHAL,316,"63,580","-47.924111, -1.29647",12656417,10603
PAS19060009,Controlador Eletrônico Misto,PA,CASTANHAL,316,"63,900","-47.921417, -1.296333",12656418,10609
PAS19060010,Controlador Eletrônico Misto,PA,CASTANHAL,316,"63,940","-47.920917, -1.296306",12656419,10831
PAS19060011,Controlador Eletrônico Misto,PA,CASTANHAL,316,"64,820","-47.913139, -1.295917",12656430,10649
PAS19060013,Controlador Eletrônico Misto,PA,CASTANHAL,316,"66,550","-47.897639, -1.295194",12656432,10650
PAS19060014,Controlador Eletrônico Misto,PA,CASTANHAL,316,"66,600","-47.897167, -1.294972",12656433,10829
PAR22120022,Controlador Eletrônico de Velocidade,PA,IRITUIA,010,"299,800","-47.5144, -1.810862",14856418,10620
PAS22050017,Controlador Eletrônico Misto,PA,MARABA,230,"118,560","-49.10222, -5.35022",14828324,10680
PAS22050018,Controlador Eletrônico Misto,PA,MARABA,230,"118,560","-49.10222, -5.35022",14856417,10673
PAR22010018,Controlador Eletrônico de Velocidade,PA,MARABA,230,"113,190","-49.064224, -5.365307",14173343,11061
PAR20040011,Controlador Eletrônico de Velocidade,PA,MARABA,230,"112,000","-49.044944, -5.370194",14173341,10953
PAS21100015,Controlador Eletrônico Misto,PA,MARABA,230,"122,295","-49.12467, -5.364077",13355515,10814
PAR20010010,Controlador Eletrônico de Velocidade,PA,MARABA,230,"124,730","-49.141266, -5.376759",14173344,11108
PAB19120018,Redutor Eletrônico de Velocidade,PA,MARABA,230,"98,380","-48.94281, -5.41319",14173342,11032
PBB18120014,Redutor Eletrônico de Velocidade,PB,MARIZOPOLIS,230,"479,600","-38.3514, -6.84461",13555000,FSC110-0017
PBB18120015,Redutor Eletrônico de Velocidade,PB,MARIZOPOLIS,230,"479,600","-38.3514, -6.84461",13843601,FSC110-0018
PBB18120016,Redutor Eletrônico de Velocidade,PB,MARIZOPOLIS,230,"478,600","-38.34903, -6.843619",14363800,FSC110-0307
PBB18120017,Redutor Eletrônico de Velocidade,PB,MARIZOPOLIS,230,"478,600","-38.34903, -6.843619",13843859,FSC110-0308
PBB18120007,Redutor Eletrônico de Velocidade,PB,POCO DANTAS,434,"18,000","-38.49761, -6.40893",14363734,FSC110-0304
PBB18120008,Redutor Eletrônico de Velocidade,PB,POCO DANTAS,434,"18,000","-38.49761, -6.40893",14363735,FSC110-0305
PBB19020109,Redutor Eletrônico de Velocidade,PB,JOCA CLAUDINO,434,"10,100","-38.46279, -6.45922",13843688,FSC110-0011
PBB19020110,Redutor Eletrônico de Velocidade,PB,JOCA CLAUDINO,434,"10,100","-38.46279, -6.45922",13843689,FSC110-0012
PBB19010063,Redutor Eletrônico de Velocidade,PB,SAO BENTINHO,230,"390,600","-37.7292, -6.88909",14363780,FSC110-0320
PBB19010064,Redutor Eletrônico de Velocidade,PB,SAO BENTINHO,230,"390,600","-37.7292, -6.88909",14363779,FSC110-0319
PBB18120032,Redutor Eletrônico de Velocidade,PB,SAO BENTINHO,230,"389,700","-37.72213, -6.8922",14363777,FSC110-0321
PBB18120033,Redutor Eletrônico de Velocidade,PB,SAO BENTINHO,230,"389,700","-37.72213, -6.8922",14363778,FSC110-0322
PAB19060006,Redutor Eletrônico de Velocidade,PA,SANTA ISABEL DO PARA,316,"34,080","-48.172694, -1.294639",12656440,10611
PAR21100014,Controlador Eletrônico de Velocidade,PA,SANTA ISABEL DO PARA,316,"35,840","-48.158065, -1.290924",12656444,10614
PAR21110015,Controlador Eletrônico de Velocidade,PA,SANTA ISABEL DO PARA,316,"34,600","-48.168397, -1.291867",12656441,10818
PAR21100012,Controlador Eletrônico de Velocidade,PA,SANTA ISABEL DO PARA,316,"35,060","-48.164779, -1.291393",12656442,10820
PAR21100013,Controlador Eletrônico de Velocidade,PA,SANTA ISABEL DO PARA,316,"35,425","-48.161457, -1.291787",12656443,10840
PAB19060011,Redutor Eletrônico de Velocidade,PA,SANTA ISABEL DO PARA,316,"36,420","-48.153055, -1.288722",12656445,10824
PAB19080016,Redutor Eletrônico de Velocidade,PA,SANTA ISABEL DO PARA,316,"47,860","-48.05728, -1.29035",12656436,11077
PAB19060015,Redutor Eletrônico de Velocidade,PA,SANTA ISABEL DO PARA,316,"43,000","-48.09719, -1.276",12656459,10612
PAB19100017,Redutor Eletrônico de Velocidade,PA,SANTA ISABEL DO PARA,316,"43,150","-48.09575, -1.27558",13355212,11067
PAR22020019,Controlador Eletrônico de Velocidade,PA,SANTA MARIA DO PARA,316,"111,500","-47.508716, -1.316431",12656437,10839
PAR22030021,Controlador Eletrônico de Velocidade,PA,SANTA MARIA DO PARA,010,"353,440","-47.574278, -1.356139",13355517,10793
PBB19110135,Redutor Eletrônico de Velocidade,PB,SOBRADO,230,"69,780","-35.23147, -7.19171",14364185,FSCII-6456
PBB19110125,Redutor Eletrônico de Velocidade,PB,SOBRADO,230,"69,700","-35.230703, -7.191488",14363727,FSCII-6013
PAB21110022,Redutor Eletrônico de Velocidade,PA,SAO MIGUEL DO GUAMA,010,"323,040","-47.482022, -1.613153",14173346,11066
PAB19050001,Redutor Eletrônico de Velocidade,PA,DOM ELISEU,010,"17,220","-47.555944, -4.299944",14173339,10618
PAR20010009,Controlador Eletrônico de Velocidade,PA,MAE DO RIO,010,"271,644","-47.553472, -2.05475",12656435,10997
MGR18110036,Controlador Eletrônico de Velocidade,MG,DIVISA ALEGRE,116,"1,960","-41.340571, -15.717594",14980087,2300060
MGR18110043,Controlador Eletrônico de Velocidade,MG,DIVISA ALEGRE,116,"3,000","-41.343786, -15.726286",15388529,2300061
APR20060001,Controlador Eletrônico de Velocidade,AP,MACAPA,210,"0,500","-51.06873, 0.07781",1177751,10985
APR20060002,Controlador Eletrônico de Velocidade,AP,MACAPA,210,"1,500","-51.07629, 0.08193",1177752,11068
APB20060001,Redutor Eletrônico de Velocidade,AP,MACAPA,210,"2,800","-51.076583, 0.082013",1177753,11060
MGR19070087,Controlador Eletrônico de Velocidade,MG,FRUTA DE LEITE,251,"328,500","-42.380199, -16.233971",15324027,2300154
MGB18120013,Redutor Eletrônico de Velocidade,MG,FRUTA DE LEITE,251,"349,600","-42.519541, -16.256766",15261005,2300073
MGR18090020,Controlador Eletrônico de Velocidade,MG,FRUTA DE LEITE,251,"333,150","-42.404218, -16.258834",15324028,2300155
ROR20040011,Controlador Eletrônico de Velocidade,RO,CANDEIAS DO JAMARI,364,"691,980","-63.70154, -8.79788",12908463,FLISD2005A00537
MGB19120043,Redutor Eletrônico de Velocidade,MG,PONTO DOS VOLANTES,116,"136,930","-41.503986, -16.750379",14438500,2300018
MGB19120044,Redutor Eletrônico de Velocidade,MG,PONTO DOS VOLANTES,116,"137,530","-41.502173, -16.755152",14808601,2300017
MGR22010145,Controlador Eletrônico de Velocidade,MG,PONTO DOS VOLANTES,116,"157,560","-41.4684, -16.9134",14808696,2300031
MGR23070186,Controlador Eletrônico de Velocidade,MG,REDUTO,262,"31,750","-42.005408, -20.255703",14439580,11349
MGB20090080,Redutor Eletrônico de Velocidade,MG,REDUTO,262,"29,000","-41.982049, -20.247204",14112599,11303
MAB20020020,Redutor Eletrônico de Velocidade,MA,BACABAL,316,"361,080","-44.785585, -4.222218",12887078,200317/2533
MAB20010014,Redutor Eletrônico de Velocidade,MA,BALSAS,230,"406,000","-46.058611, -7.519802",12887085,180618/2274
MAB20010015,Redutor Eletrônico de Velocidade,MA,BALSAS,230,"403,200","-46.035836, -7.518127",12887084,190402/2415
MAR19120006,Controlador Eletrônico de Velocidade,MA,BALSAS,230,"404,700","-46.046784, -7.522443",12887086,180502/2243
MAB19120007,Redutor Eletrônico de Velocidade,MA,BARAO DE GRAJAU,230,"1,200","-43.018033, -6.755036",12887081,180502/2242
MAR20070015,Controlador Eletrônico de Velocidade,MA,BARAO DE GRAJAU,230,"1,900","-43.024552, -6.754685",12887082,200317/2526
MAR20040014,Controlador Eletrônico de Velocidade,MA,CAXIAS,316,"548,500","-43.37707, -4.88614",12887080,200317/2527
MAR22060017,Controlador Eletrônico de Velocidade,MA,CAXIAS,316,"547,000","-43.396128, -4.8749",14747432,200317/2529
MAB20010016,Redutor Eletrônico de Velocidade,MA,IMPERATRIZ,010,"259,000","-47.472322, -5.472474",12887072,180525/2253
MAB20020021,Redutor Eletrônico de Velocidade,MA,IMPERATRIZ,010,"249,100","-47.456664, -5.555024",12887074,180426/2231
MAR20010011,Controlador Eletrônico de Velocidade,MA,ITAPECURU MIRIM,135,"93,000","-44.430804, -3.314593",14747428,180525/2252
MAB20010011,Redutor Eletrônico de Velocidade,MA,SAO LUIS,135,"20,560","-44.325151, -2.566143",14747424,220708/2844
MAB20010012,Redutor Eletrônico de Velocidade,MA,SAO LUIS,135,"21,150","-44.337845, -2.740129",14747423,220708/2846
MAS20010002,Controlador Eletrônico Misto,MA,SAO LUIS,135,"21,860","-44.319535, -2.565551",14747425,220708/2839
MAB20010017,Redutor Eletrônico de Velocidade,MA,SAO LUIS,135,"21,200","-44.325708, -2.566157",14747424,220708/2844
MAB20020018,Redutor Eletrônico de Velocidade,MA,SAO LUIS,135,"22,700","-44.314886, -2.560473",14747430,220708/2847
MAB19120006,Redutor Eletrônico de Velocidade,MA,SAO LUIS,135,"21,010","-44.336759, -2.738458",14747422,220708/2843
MAB19120005,Redutor Eletrônico de Velocidade,MA,SAO LUIS,135,"3,860","-44.251926, -2.613585",14747416,220708/2841
MAR19120005,Controlador Eletrônico de Velocidade,MA,SAO LUIS,135,"23,780","-44.352585, -2.757776",14747427,220708/2838
MAR19120007,Controlador Eletrônico de Velocidade,MA,SAO LUIS,135,"9,400","-44.327776, -2.597965",14747420,220705/2829
MAS19120001,Controlador Eletrônico Misto,MA,SAO LUIS,135,"21,900","-44.319352, -2.565366",14747425,220708/2839
MAR20010008,Controlador Eletrônico de Velocidade,MA,SAO LUIS,135,"1,010","-44.244302, -2.589687",14747417,220708/2836
MAR19090001,Controlador Eletrônico de Velocidade,MA,SAO LUIS,135,"0,940","-44.244215, -2.589063",14747417,220708/2836
MAB19090001,Redutor Eletrônico de Velocidade,MA,SAO LUIS,135,"3,880","-44.252018, -2.613845",14747416,220708/2841
MAB19090002,Redutor Eletrônico de Velocidade,MA,SAO LUIS,135,"6,740","-44.318163, -2.620807",14747419,220705/2833
MAB19090003,Redutor Eletrônico de Velocidade,MA,SAO LUIS,135,"6,760","-44.318226, -2.620809",14747419,220705/2833
MAR19090002,Controlador Eletrônico de Velocidade,MA,SAO LUIS,135,"9,410","-44.32796, -2.597784",14747420,220705/2829
MAR19090003,Controlador Eletrônico de Velocidade,MA,SAO LUIS,135,"10,100","-44.286154, -2.65751",14747415,220705/2831
MAB19090004,Redutor Eletrônico de Velocidade,MA,SAO LUIS,135,"13,100","-44.295271, -2.681485",14747421,220705/2835
MAR19090004,Controlador Eletrônico de Velocidade,MA,SAO LUIS,135,"14,800","-44.304386, -2.694477",14747414,220705/2832
MAB22060035,Redutor Eletrônico de Velocidade,MA,SAO LUIS,135,"5,800","-44.262626, -2.628158",14747426,211124/2707
MAB22030027,Redutor Eletrônico de Velocidade,MA,SAO LUIS,135,"5,600","-44.260896, -2.625519",14747412,200317/2531
MAB22040030,Redutor Eletrônico de Velocidade,MA,SAO LUIS,135,"7,420","-44.270565, -2.639065",14747413,180525/2251
MAR22050016,Controlador Eletrônico de Velocidade,MA,SAO LUIS,135,"2,700","-44.246407, -2.60391",14747418,220427/2790
MAB22060034,Redutor Eletrônico de Velocidade,MA,SAO MATEUS DO MARANHAO,135,"183,000","-44.470457, -4.046651",14747431,211203/2708
MAB22050031,Redutor Eletrônico de Velocidade,MA,TIMON,316,"620,300","-42.82131, -5.129466",14747433,200317/2528
MAB22060032,Redutor Eletrônico de Velocidade,MA,TIMON,316,"615,260","-42.836996, -5.086949",14747434,220427/2791
MAB22060033,Redutor Eletrônico de Velocidade,MA,TIMON,316,"615,340","-42.835873, -5.088364",14747435,211124/2701
RSR20040088,Controlador Eletrônico de Velocidade,RS,BARRA DO QUARAI,472,"651,270","-57.50618, -30.20082",14447290,11445
MAB22040029,Redutor Eletrônico de Velocidade,MA,SANTA INES,222,"358,220","-45.350839, -3.679673",14747439,211124/2704
MAB22040028,Redutor Eletrônico de Velocidade,MA,ACAILANDIA,222,"671,000","-47.464208, -4.940236",14747438,211124/2706
MAR20040013,Controlador Eletrônico de Velocidade,MA,ESTREITO,010,"129,300","-47.447295, -6.557299",14747437,200317/2530
RSB20030276,Redutor Eletrônico de Velocidade,RS,ITAARA,158,"311,765","-53.769245, -29.625825",14003045,11114
RSB20030292,Redutor Eletrônico de Velocidade,RS,ITAARA,158,"307,555","-53.76609, -29.58927",14139718,10962
RSB20030293,Redutor Eletrônico de Velocidade,RS,ITAARA,158,"307,840","-53.766008, -29.591644",14139719,11147
RSB20040321,Redutor Eletrônico de Velocidade,RS,ITAARA,158,"310,400","-53.767017, -29.613883",14395669,10937
RSB20040322,Redutor Eletrônico de Velocidade,RS,ITAARA,158,"310,900","-53.767333, -29.61805",14395670,10946
CER19010003,Controlador Eletrônico de Velocidade,CE,ITAITINGA,116,"25,850","-38.514528, -3.974139",13598940,220531/2807
CER19010004,Controlador Eletrônico de Velocidade,CE,ITAITINGA,116,"26,000","-38.514278, -3.975083",13598941,220531/2808
PIB18120010,Redutor Eletrônico de Velocidade,PI,AGUA BRANCA,343,"444,100","-42.639486, -5.882322",00000522,L0449
PIR18120008,Controlador Eletrônico de Velocidade,PI,ALTOS,343,"309,400","-42.440981, -5.032302",00000545,L0460
PIB19120017,Redutor Eletrônico de Velocidade,PI,ALTOS,343,"305,000","-42.456814, -5.039748",00000546,L0472
PIR23080031,Controlador Eletrônico de Velocidade,PI,ALTOS,343,"308,750","-42.474135, -5.039957",00000514,L0478
RSR20040086,Controlador Eletrônico de Velocidade,RS,UNISTALDA,287,"433,635","-55.146967, -29.0494",14444709,10960
RSB20040310,Redutor Eletrônico de Velocidade,RS,UNISTALDA,287,"441,195","-55.220067, -29.040583",14446482,11381
PIB19030012,Redutor Eletrônico de Velocidade,PI,BARRO DURO,316,"95,030","-42.514973, -5.81479",00000507,L0388
PIR20010021,Controlador Eletrônico de Velocidade,PI,BURITI DOS LOPES,343,"42,200","-41.821133, -3.162488",00000531,L0469
PIR19100016,Controlador Eletrônico de Velocidade,PI,BURITI DOS LOPES,343,"48,896","-41.862066, -3.178561",00000501,L0467
PIR19100013,Controlador Eletrônico de Velocidade,PI,CAMPO MAIOR,343,"267,500","-42.185309, -4.839768",00000525,L0462
PIR20010019,Controlador Eletrônico de Velocidade,PI,CAMPO MAIOR,343,"263,030","-42.15893, -4.81933",00000547, L0458
GOR20020027,Controlador Eletrônico de Velocidade,GO,ABADIA DE GOIAS,060,"181,000","-49.492593, -16.78359",11786734,FLISD2003A00474
GOR20020023,Controlador Eletrônico de Velocidade,GO,AGUAS LINDAS DE GOIAS,070,"14,100","-48.325699, -15.751531",14255972,FLISD2004A00522
GOR20020022,Controlador Eletrônico de Velocidade,GO,AGUAS LINDAS DE GOIAS,070,"4,450","-48.248997, -15.759476",13871409,FLISD2004A00505
GOR20020012,Controlador Eletrônico de Velocidade,GO,AGUAS LINDAS DE GOIAS,070,"5,900","-48.260238, -15.751456",13871485,FLISD2004A00506
GOB20020010,Redutor Eletrônico de Velocidade,GO,AGUAS LINDAS DE GOIAS,070,"9,300","-48.2861, -15.7362",1844758,FLICD2004A00512
